Item,Ingredients,MRB Monday,MRB Tuesday,MRB Wednesday,MRB Thursday,MRB Friday,MRB Saturday,MAIN Tuesday,MAIN Wednesday,MAIN Thursday,Friday,Saturday
Almond Croissant,"Wheat Flour, Water, Butter (Cream), Sugar, Almonds, Yeast, Egg
Whites, Invert Sugar Syrup, Egg, Salt, Wheat Gluten, Egg
Yolks, Ascorbic Acid, Enzyme. Topping: Powdered Sugar.
Contains Milk, Egg, Tree Nuts",,,,,,,,,,,
Apple Turnover,"Apple Filling (Water, Sugar, Glucose, Evaporated Apples,
Modified Corn Starch, Spice, Citric Acid, Sodium Benzoate and
Potassium Sorbate (preservatives), Enriched Flour (Wheat
Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid,
Water, Palm Oil, Sugar, Soybean Oil, Salt, Monocalcium
Phosphate)",,,,,,,,,,,
Blueberry Muffin,"Bleached Wheat Flour, Sugar, Eggs, Soybean Oil, Blueberries, Water, Modified Food
Starch, Leavening (Baking Soda, Sodium Aluminum Phosphate, Monocalcium
Phosphate), Mono and Diglycerides, Natural Flavor, Buttermilk Solids, Salt, Enzyme,
Xanthan Gum. This product is manufactured on equipement expsosed to almond, coconut,
pecan, pistachio, soy and walnut products)
Contains Wheat, Egg, Dairy (Milk)",,,,,,,,,,,
Blueberry Scone,"Wheat Flour, Water, Blueberries, Margarine, Cane Sugar, Eggs,
Palm Oil, Baking Soda, Salt, Butter, Natural Flavor, Xanthan Gum
Contains Eggs, Milk, Soy, Wheat
May contain peanuts and tree nuts.",,,,,,,,,,,
Chocolate Chip Muffin,"Sugar, Bleached Wheat Flour, Soybean Oil, Eggs, Water, Chocolate Chips (Sugar,
Chocolate Liquor, Cocoa Butter, SOY Lecithin (an emulsifier), Vanilla). Modified food
starch, leavening (baking soda, Sodium Aluminum Phosphate, Monocalcium Phosphate),
Mono and Diglycerides, Buttermilk Solids, , Salt, Lactic Acid, Enzyme, Xanthan Gum.
This product is manufactured on equipment exposed to almond, coconut, pecan, pistachio
and walnut products
Contains Wheat, Egg, Dairy (Milk), Soy",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
